pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
140.75,-107.575,-90.0,top,R58,,,R_0402,33Ω,tht
141.2,-92.1,-90.0,top,R59,,,R_0402,33Ω,tht
141.2,-94.6,-90.0,top,R60,,,R_0402,33Ω,tht
138.5,-107.5,90.0,top,R61,,,R_0402,10kΩ,tht
106.35,-106.4,-90.0,top,R62,,,R_0402,10kΩ,tht
169.8,-82.65,90.0,top,R63,,,R_0402,10kΩ,tht
130.9,-101.8,90.0,top,R64,,,R_0402,33Ω,tht
132.2,-101.8,90.0,top,R65,,,R_0402,33Ω,tht
122.4187,-109.6875,90.0,top,R7,,,R_0402,100kΩ,tht
142.6,-87.0,-45.0,top,R70,,,R_0402,100Ω,tht
141.9,-87.7,-45.0,top,R71,,,R_0402,100Ω,tht
118.5,-84.4,-90.0,top,R72,,,R_0402,10kΩ,tht
176.63,-106.15,-90.0,top,R8,,,R_0402,0Ω,tht
160.2,-77.675,90.0,top,RESET1,,,SW_TS-1088-AR02016,"Tactile Button, 160gf",smt
177.65,-76.14,90.0,top,SW1,,,SW-SMD_EVQPUD02K,EVQPUC02K,smt
167.9501,-76.1358,90.0,top,SW2,,,SW-SMD_EVQPUD02K,EVQPUC02K,smt
158.6,-108.15,-90.0,top,U10,,,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,XC6206P332MR,smt
113.0675,-102.16,180.0,top,U12,,,SOT-23-5,TLV62569DBV,smt
151.98,-98.21,-90.0,top,U14,,,QFN-28-1EP_6x6mm_P0.65mm_EP4.25x4.25mm,MCP23017_ML,smt
185.35,-85.65,0.0,top,U15,,,SMA-SMD_BWSMA-KE-P001,HJ-SMA275,smt
168.8,-92.7349,-90.0,top,U17,,,COMM-SMD_17P-L17.0-W16.0-P2.00_RA-01S-P,RA-01SH-P,smt
169.85,-110.0499,0.0,top,U18,,,GPSM-SMD_18P-L10.1-W9.7-P1.10,L76KB-A58,smt
133.59,-111.7725,0.0,top,U19,,,TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm,MAX98357A,smt
151.9251,-76.5124,90.0,top,U3,,,SENSOR-SMD_ICS-43432,ICS-43432,smt
130.2499,-90.3385,0.0,top,U4,,,WIRELM-SMD_ESP32-S3-WROOM-1,ESP32-S3-WROOM-1(N16R8),smt
174.6496,-121.95,0.0,top,U5,,,SW-TH_SK-12D02-VG5,SK-12D02-VG5,tht
124.6925,-115.5,90.0,top,U6,,,SOT-666,USBLC6-2P6,smt
113.0302,-111.7722,180.0,top,U7,,,WSON-10_L2.2-W2.0-P0.40-BL-EP_TI_DLH0010A,BQ25185DLHR,smt
120.15,-108.55,90.0,top,U8,,,SOT-23-6,TPS22917LDBV,smt
113.0,-97.4999,90.0,top,U9,,,IND-SMD_L4.6-W4.1,MHCI04020-2R2M-R8,smt
